date,inflow
1986-01-01,6844653528.0
1986-02-01,4480943664.0
1986-03-01,4965628018.0
1986-04-01,3726386182.0
1986-05-01,1286528858.0
1986-06-01,647003480.0
1986-07-01,501106668.0
1986-08-01,382983552.0
1986-09-01,238625844.0
1986-10-01,196562350.0
1986-11-01,222954405.0
1986-12-01,1553359576.0
1987-01-01,3140783476.0
1987-02-01,2763781301.0
1987-03-01,2203209228.0
1987-04-01,1165663302.0
1987-05-01,518987269.0
1987-06-01,353303571.0
1987-07-01,295995851.0
1987-08-01,253319685.0
1987-09-01,192547368.0
1987-10-01,165740075.0
1987-11-01,138408912.0
1987-12-01,415230002.0
1988-01-01,1972906969.0
1988-02-01,6304940208.0
1988-03-01,5184674983.0
1988-04-01,1692796087.0
1988-05-01,556481742.0
1988-06-01,334321033.0
1988-07-01,247805879.0
1988-08-01,182475893.0
1988-09-01,136385597.0
1988-10-01,107537803.0
1988-11-01,99686687.0
1988-12-01,270907753.0
1989-01-01,2806175205.0
1989-02-01,6675059059.0
1989-03-01,7386732480.0
1989-04-01,3633617047.0
1989-05-01,1031163929.0
1989-06-01,526283179.0
1989-07-01,364612816.0
1989-08-01,245819422.0
1989-09-01,113319959.0
1989-10-01,2816309.0
1989-11-01,51641271.0
1989-12-01,3526030627.0
1990-01-01,6337971462.0
1990-02-01,4160478937.0
1990-03-01,6094881346.0
1990-04-01,5602266976.0
1990-05-01,2611818665.0
1990-06-01,365756213.0
1990-07-01,290870145.0
1990-08-01,213050580.0
1990-09-01,539494335.0
1990-10-01,106658988.0
1990-11-01,101177968.0
1990-12-01,153876931.0
1991-01-01,2301447993.0
1991-02-01,2551821545.0
1991-03-01,1248747476.0
1991-04-01,1253779949.0
1991-05-01,580412926.0
1991-06-01,1076458377.0
1991-07-01,860979594.0
1991-08-01,674702235.0
1991-09-01,539494335.0
1991-10-01,291775388.0
1991-11-01,280650459.0
1991-12-01,650763487.0
1992-01-01,1827587526.0
1992-02-01,1016876929.0
1992-03-01,898954978.0
1992-04-01,2911115537.0
1992-05-01,592727233.0
1992-06-01,448004987.0
1992-07-01,364612985.0
1992-08-01,231356684.0
1992-09-01,339392074.0
1992-10-01,64426804.0
1992-11-01,103941870.0
1992-12-01,3521351851.0
1993-01-01,7184514983.0
1993-02-01,5444352662.0
1993-03-01,7521591269.0
1993-04-01,8007348074.0
1993-05-01,701829806.0
1993-06-01,681923474.0
1993-07-01,762863003.0
1993-08-01,533420459.0
1993-09-01,356029448.0
1993-10-01,324118910.0
1993-11-01,194377937.0
1993-12-01,1245876285.0
1994-01-01,3240848362.0
1994-02-01,4396993360.0
1994-03-01,4746330181.0
1994-04-01,2504623256.0
1994-05-01,841663706.0
1994-06-01,669522025.0
1994-07-01,473020581.0
1994-08-01,356633179.0
1994-09-01,300301711.0
1994-10-01,99370515.0
1994-11-01,80608971.0
1994-12-01,136716777.0
1995-01-01,506264334.0
1995-02-01,1685603909.0
1995-03-01,3178903838.0
1995-04-01,928407900.0
1995-05-01,488567868.0
1995-06-01,332398028.0
1995-07-01,234515451.0
1995-08-01,188677175.0
1995-09-01,132608560.0
1995-10-01,117567910.0
1995-11-01,125599118.0
1995-12-01,348019390.0
1996-01-01,1114777858.0
1996-02-01,3789257864.0
1996-03-01,5108446030.0
1996-04-01,2405509410.0
1996-05-01,898381187.0
1996-06-01,323369781.0
1996-07-01,231687242.0
1996-08-01,175806495.0
1996-09-01,129426932.0
1996-10-01,101834729.0
1996-11-01,80210529.0
1996-12-01,417951135.0
1997-01-01,2323334197.0
1997-02-01,6113232259.0
1997-03-01,3150229916.0
1997-04-01,1454966427.0
1997-05-01,496057245.0
1997-06-01,261474843.0
1997-07-01,188628342.0
1997-08-01,128860062.0
1997-09-01,85050778.0
1997-10-01,65897868.0
1997-11-01,84757311.0
1997-12-01,2289308132.0
1998-01-01,6989000371.0
1998-02-01,4763795095.0
1998-03-01,5937537816.0
1998-04-01,1964320554.0
1998-05-01,820230132.0
1998-06-01,437113143.0
1998-07-01,312501188.0
1998-08-01,205379168.0
1998-09-01,134363215.0
1998-10-01,100829370.0
1998-11-01,82140221.0
1998-12-01,283336212.0
1999-01-01,3131705385.0
1999-02-01,4782257574.0
1999-03-01,5450867455.0
1999-04-01,3444946537.0
1999-05-01,1221161080.0
1999-06-01,656043935.0
1999-07-01,472997673.0
1999-08-01,353777907.0
1999-09-01,238923354.0
1999-10-01,179933763.0
1999-11-01,160245942.0
1999-12-01,233014916.0
2000-01-01,519983220.0
2000-02-01,1928637423.0
2000-03-01,2614042757.0
2000-04-01,1530150860.0
2000-05-01,546947355.0
2000-06-01,344927341.0
2000-07-01,237708432.0
2000-08-01,146749450.0
2000-09-01,98685243.0
2000-10-01,74573473.0
2000-11-01,91320178.0
2000-12-01,1271041088.0
2001-01-01,3363999157.0
2001-02-01,4480943664.0
2001-03-01,5471916163.0
2001-04-01,2911115537.0
2001-05-01,984631238.0
2001-06-01,1076458377.0
2001-07-01,860979594.0
2001-08-01,674702235.0
2001-09-01,539494335.0
2001-10-01,209429587.0
2001-11-01,117494738.0
2001-12-01,205586942.0
2002-01-01,1945195171.0
2002-02-01,6312057348.0
2002-03-01,1331532628.0
2002-04-01,2911115537.0
2002-05-01,545500941.0
2002-06-01,1076458377.0
2002-07-01,860979594.0
2002-08-01,674702235.0
2002-09-01,539494335.0
2002-10-01,111329807.0
2002-11-01,420241789.0
2002-12-01,713392522.0
2003-01-01,2207042503.0
2003-02-01,2852281853.0
2003-03-01,3756848859.0
2003-04-01,2911115537.0
2003-05-01,984631238.0
2003-06-01,1076458377.0
2003-07-01,860979594.0
2003-08-01,674702235.0
2003-09-01,539494335.0
2003-10-01,111329807.0
2003-11-01,420241789.0
2003-12-01,977681339.0
2004-01-01,2371864136.0
2004-02-01,384405316.0
2004-03-01,5471916163.0
2004-04-01,2911115537.0
2004-05-01,984631238.0
2004-06-01,1076458377.0
2004-07-01,201363375.0
2004-08-01,171683194.0
2004-09-01,539494335.0
2004-10-01,111329807.0
2004-11-01,74205435.0
2004-12-01,1407250848.0
2005-01-01,3284835975.0
2005-02-01,4480943664.0
2005-03-01,5471916163.0
2005-04-01,564613883.0
2005-05-01,340413218.0
2005-06-01,197151771.0
2005-07-01,139760614.0
2005-08-01,90790010.0
2005-09-01,57815571.0
2005-10-01,36148222.0
2005-11-01,420241789.0
2005-12-01,977681339.0
