date,inflow
1986-01-01,1999194266.0
1986-02-01,1958126746.0
1986-03-01,2304239443.0
1986-04-01,2181434436.0
1986-05-01,1999003190.0
1986-06-01,1790008848.0
1986-07-01,1650640550.0
1986-08-01,1474278278.0
1986-09-01,1315979395.0
1986-10-01,1245099773.0
1986-11-01,1216476922.0
1986-12-01,1442561011.0
1987-01-01,1726069306.0
1987-02-01,1598345309.0
1987-03-01,1796625792.0
1987-04-01,1795619318.0
1987-05-01,1753948858.0
1987-06-01,1616088931.0
1987-07-01,1457564198.0
1987-08-01,1264035110.0
1987-09-01,999969062.0
1987-10-01,1012231382.0
1987-11-01,817396531.0
1987-12-01,994904208.0
1988-01-01,1240173590.0
1988-02-01,1857874234.0
1988-03-01,1947691613.0
1988-04-01,1692029952.0
1988-05-01,1735655558.0
1988-06-01,1407509482.0
1988-07-01,1205085946.0
1988-08-01,1067339981.0
1988-09-01,921901738.0
1988-10-01,846400925.0
1988-11-01,842483290.0
1988-12-01,1045316880.0
1989-01-01,1171316246.0
1989-02-01,1772980505.0
1989-03-01,2148972390.0
1989-04-01,2084421792.0
1989-05-01,2184039677.0
1989-06-01,2063725862.0
1989-07-01,1994481706.0
1989-08-01,1850739062.0
1989-09-01,1662457824.0
1989-10-01,1239752319.0
1989-11-01,1527045696.0
1989-12-01,1718436730.0
1990-01-01,1916369633.0
1990-02-01,2041196976.0
1990-03-01,1973939155.0
1990-04-01,1938130589.0
1990-05-01,1954401610.0
1990-06-01,1717288387.0
1990-07-01,1684527581.0
1990-08-01,1273082227.0
1990-09-01,1135114733.0
1990-10-01,1063147853.0
1990-11-01,954513590.0
1990-12-01,957854765.0
1991-01-01,1552267411.0
1991-02-01,1455844579.0
1991-03-01,2087475840.0
1991-04-01,1946600294.0
1991-05-01,1960717709.0
1991-06-01,1816357651.0
1991-07-01,1611955037.0
1991-08-01,1433923862.0
1991-09-01,1265275728.0
1991-10-01,1336554950.0
1991-11-01,1258950125.0
1991-12-01,1392754435.0
1992-01-01,1265555923.0
1992-02-01,1128691066.0
1992-03-01,1338513552.0
1992-04-01,1235211725.0
1992-05-01,1046165933.0
1992-06-01,856314115.0
1992-07-01,593756179.0
1992-08-01,532820938.0
1992-09-01,430630387.0
1992-10-01,413092397.0
1992-11-01,456666422.0
1992-12-01,713080109.0
1993-01-01,1655623221.0
1993-02-01,1398985690.0
1993-03-01,1368901642.0
1993-04-01,850835232.0
1993-05-01,773028230.0
1993-06-01,761973782.0
1993-07-01,707356282.0
1993-08-01,662625101.0
1993-09-01,593852602.0
1993-10-01,572222794.0
1993-11-01,637900099.0
1993-12-01,675499565.0
1994-01-01,1054636762.0
1994-02-01,1139833901.0
1994-03-01,1037198218.0
1994-04-01,942269933.0
1994-05-01,826144445.0
1994-06-01,786431894.0
